選択,基準日,方向,銘柄,エントリー時刻,クローズ時刻,保有時間,開始時,跨ぎフラグ,勝率_30日,勝率_90日,勝率_365日,勝率_平均,勝率重視ポイント,利益効率ポイント,時間効率ポイント,最大利益ポイント,勝率重視ポイントUS,利益効率ポイントUS,時間効率ポイントUS,最大利益ポイントUS,合計変動pips_30日,合計変動pips_90日,合計変動pips_365日,合計変動pips_平均,勝率重視スコア,利益効率スコア,時間効率スコア,最大利益スコア,変動値σ_pips_30日,変動値σ_pips_90日,変動値σ_pips_365日,変動値σ_pips_平均,平均スプレッドpips_30日,平均スプレッドpips_90日,平均スプレッドpips_365日,平均スプレッドpips_平均
FALSE,2025-06-22,Short,EURUSD,0:00:00,0:27:00,27,0,0,68.18%,63.08%,54.05%,61.77%,,,,,,,,,7.4,119.0,127.5,84.6,79.79,12.02,4.36,16.74,8.22,12.61,10.93,10.59,0.3,0.3,0.4,0.3
FALSE,2025-06-22,Short,EURJPY,0:00:00,0:23:00,23,0,0,72.73%,61.54%,49.42%,61.23%,,,,,,,,,65.6,-30.2,-12.9,7.5,79.09,6.66,3.23,10.58,9.88,15.98,17.25,14.37,0.4,0.4,0.6,0.5
FALSE,2025-06-22,Short,AUDJPY,0:00:00,0:09:00,9,0,0,68.18%,56.92%,55.21%,60.11%,,,,,,,,,-8.1,-50.0,-71.4,-43.2,77.64,-10.12,-8.78,-11.24,4.18,8.00,9.75,7.31,0.5,0.5,0.6,0.6
FALSE,2025-06-22,Long,GBPAUD,0:00:00,0:29:00,29,0,0,68.18%,58.46%,53.67%,60.10%,,,,,,,,,62.5,345.0,420.5,276.0,77.64,27.8,8.14,33.56,7.69,26.91,19.06,17.89,1.5,1.5,1.7,1.6
FALSE,2025-06-22,Short,EURUSD,0:00:00,0:24:00,24,0,0,63.64%,63.08%,53.28%,60.00%,,,,,,,,,21.5,151.1,209.4,127.3,77.5,20.07,7.59,25.9,8.28,11.69,9.94,9.97,0.3,0.3,0.4,0.3
FALSE,2025-06-22,Short,EURUSD,0:00:00,0:18:00,18,0,0,68.18%,60.00%,51.74%,59.97%,,,,,,,,,36.4,155.8,165.6,119.3,77.47,24.55,11.53,29.5,7.73,9.50,8.60,8.61,0.3,0.3,0.4,0.3
FALSE,2025-06-22,Short,EURUSD,0:00:00,0:15:00,15,0,0,68.18%,60.00%,50.97%,59.72%,,,,,,,,,31.3,90.9,134.1,85.4,77.13,20.64,9.84,20.97,5.82,8.39,7.82,7.35,0.3,0.3,0.4,0.3
FALSE,2025-06-22,Short,EURUSD,0:00:00,0:17:00,17,0,0,68.18%,60.00%,50.58%,59.59%,,,,,,,,,32.3,134.8,158.6,108.6,76.97,22.95,10.81,26.12,6.83,9.36,8.48,8.22,0.3,0.3,0.4,0.3
FALSE,2025-06-22,Short,EURUSD,0:00:00,0:25:00,25,0,0,63.64%,61.54%,53.28%,59.49%,,,,,,,,,12.2,140.7,152.7,101.9,76.84,15.27,5.85,20.79,8.63,11.88,10.70,10.40,0.3,0.3,0.4,0.3
FALSE,2025-06-22,Short,EURUSD,0:00:00,0:28:00,28,0,0,63.64%,60.00%,54.05%,59.23%,,,,,,,,,1.4,101.9,129.5,77.6,76.51,10.22,3.39,13.48,8.23,12.67,10.92,10.61,0.3,0.3,0.4,0.3
FALSE,2025-06-22,Short,EURUSD,0:00:00,0:22:00,22,0,0,59.09%,63.08%,54.83%,59.00%,,,,,,,,,27.5,189.6,263.5,160.2,76.21,28.48,10.47,32.73,7.25,10.17,9.19,8.87,0.3,0.3,0.4,0.3
FALSE,2025-06-22,Short,EURUSD,0:00:00,0:23:00,23,0,0,63.64%,61.54%,51.74%,58.97%,,,,,,,,,21.6,154.8,199.4,125.3,76.17,21.39,7.98,26.1,7.89,10.77,9.40,9.35,0.3,0.3,0.4,0.3
FALSE,2025-06-22,Short,EURJPY,0:01:00,0:17:00,16,0,0,77.27%,60.00%,53.28%,63.52%,,,,,,,,,74.3,67.0,101.5,80.9,82.05,18,9.18,20.87,7.79,14.21,14.46,12.15,0.4,0.4,0.4,0.4
FALSE,2025-06-22,Short,EURJPY,0:01:00,0:22:00,21,0,0,77.27%,61.54%,51.74%,63.52%,,,,,,,,,81.5,5.1,114.9,67.2,82.04,13.92,6.08,18.16,9.17,14.51,16.07,13.25,0.4,0.4,0.4,0.4
FALSE,2025-06-22,Short,EURJPY,0:01:00,0:20:00,19,0,0,72.73%,61.54%,52.51%,62.26%,,,,,,,,,76.4,23.9,213.9,104.7,80.42,20.14,7.48,20.21,6.99,13.84,15.15,11.99,0.4,0.4,0.4,0.4
FALSE,2025-06-22,Short,EURJPY,0:01:00,0:23:00,22,0,0,77.27%,60.00%,49.42%,62.23%,,,,,,,,,92.7,4.8,47.0,48.2,80.38,14.49,6.14,19.22,8.74,15.02,16.29,13.35,0.4,0.4,0.4,0.4
